Frequency(Hz),Magnitude(Ohm),Phase(rad)
59500,366.714,1.434
59600,367.354,1.434
59700,367.994,1.435
59800,368.634,1.435
59900,369.274,1.435
60000,369.914,1.435
60100,370.554,1.435
60200,371.194,1.436
60300,371.833,1.436
60400,372.473,1.436
60500,373.113,1.436
60600,373.752,1.437
60700,374.392,1.437
60800,375.031,1.437
60900,375.671,1.437
61000,376.311,1.438
61100,376.95,1.438
61200,377.589,1.438
61300,378.229,1.438
61400,378.868,1.438
61500,379.507,1.439
61600,380.147,1.439
61700,380.786,1.439
61800,381.425,1.439
61900,382.064,1.44
62000,382.704,1.44
62100,383.343,1.44
62200,383.982,1.44
62300,384.621,1.44
62400,385.26,1.441
62500,385.899,1.441
62600,386.538,1.441
62700,387.177,1.441
62800,387.816,1.442
62900,388.455,1.442
63000,389.093,1.442
63100,389.732,1.442
63200,390.371,1.442
63300,391.01,1.443
63400,391.648,1.443
63500,392.287,1.443
63600,392.926,1.443
63700,393.564,1.443
63800,394.203,1.444
63900,394.841,1.444
64000,395.48,1.444
64100,396.118,1.444
64200,396.757,1.444
64300,397.395,1.445
64400,398.034,1.445
64500,398.672,1.445
64600,399.31,1.445
64700,399.949,1.445
64800,400.587,1.446
64900,401.225,1.446
65000,401.863,1.446
65100,402.501,1.446
65200,403.14,1.446
65300,403.778,1.447
65400,404.416,1.447
65500,405.054,1.447
65600,405.692,1.447
65700,406.33,1.447
65800,406.968,1.448
65900,407.606,1.448
66000,408.244,1.448
66100,408.882,1.448
66200,409.519,1.448
66300,410.157,1.449
66400,410.795,1.449
66500,411.433,1.449
66600,412.071,1.449
66700,412.708,1.449
66800,413.346,1.45
66900,413.984,1.45
67000,414.621,1.45
67100,415.259,1.45
67200,415.897,1.45
67300,416.534,1.45
67400,417.172,1.451
67500,417.809,1.451
67600,418.447,1.451
67700,419.084,1.451
67800,419.722,1.451
67900,420.359,1.452
68000,420.996,1.452
68100,421.634,1.452
68200,422.271,1.452
68300,422.908,1.452
68400,423.546,1.452
68500,424.183,1.453
68600,424.82,1.453
68700,425.457,1.453
68800,426.094,1.453
68900,426.732,1.453
69000,427.369,1.454
69100,428.006,1.454
69200,428.643,1.454
69300,429.28,1.454
69400,429.917,1.454
69500,430.554,1.454
69600,431.191,1.455
69700,431.828,1.455
69800,432.465,1.455
69900,433.102,1.455
70000,433.739,1.455
70100,434.375,1.455
70200,435.012,1.456
70300,435.649,1.456
70400,436.286,1.456
70500,436.923,1.456
70600,437.559,1.456
70700,438.196,1.456
70800,438.833,1.457
70900,439.469,1.457
71000,440.106,1.457
71100,440.743,1.457
71200,441.379,1.457
71300,442.016,1.457
71400,442.652,1.458
71500,443.289,1.458
71600,443.925,1.458
71700,444.562,1.458
71800,445.198,1.458
71900,445.835,1.458
72000,446.471,1.459
72100,447.108,1.459
72200,447.744,1.459
72300,448.38,1.459
72400,449.017,1.459
72500,449.653,1.459
72600,450.289,1.46
72700,450.926,1.46
72800,451.562,1.46
72900,452.198,1.46
73000,452.834,1.46
73100,453.47,1.46
73200,454.107,1.46
73300,454.743,1.461
73400,455.379,1.461
73500,456.015,1.461
73600,456.651,1.461
73700,457.287,1.461
73800,457.923,1.461
73900,458.559,1.462
74000,459.195,1.462
74100,459.831,1.462
74200,460.467,1.462
74300,461.103,1.462
74400,461.739,1.462
74500,462.375,1.462
74600,463.011,1.463
74700,463.647,1.463
74800,464.282,1.463
74900,464.918,1.463
75000,465.554,1.463
75100,466.19,1.463
75200,466.826,1.463
75300,467.461,1.464
75400,468.097,1.464
75500,468.733,1.464
75600,469.368,1.464
75700,470.004,1.464
75800,470.64,1.464
75900,471.275,1.465
76000,471.911,1.465
76100,472.547,1.465
76200,473.182,1.465
76300,473.818,1.465
76400,474.453,1.465
76500,475.089,1.465
76600,475.724,1.465
76700,476.36,1.466
76800,476.995,1.466
76900,477.631,1.466
77000,478.266,1.466
77100,478.901,1.466
77200,479.537,1.466
77300,480.172,1.466
77400,480.808,1.467
77500,481.443,1.467
77600,482.078,1.467
77700,482.714,1.467
77800,483.349,1.467
77900,483.984,1.467
78000,484.619,1.467
78100,485.255,1.468
78200,485.89,1.468
78300,486.525,1.468
78400,487.16,1.468
78500,487.795,1.468
78600,488.43,1.468
78700,489.066,1.468
78800,489.701,1.469
78900,490.336,1.469
79000,490.971,1.469
79100,491.606,1.469
79200,492.241,1.469
79300,492.876,1.469
79400,493.511,1.469
79500,494.146,1.469
79600,494.781,1.47
79700,495.416,1.47
79800,496.051,1.47
79900,496.686,1.47
80000,497.321,1.47
80100,497.956,1.47
80200,498.59,1.47
80300,499.225,1.47
80400,499.86,1.471
80500,500.495,1.471
80600,501.13,1.471
80700,501.765,1.471
80800,502.399,1.471
80900,503.034,1.471
81000,503.669,1.471
81100,504.304,1.471
81200,504.938,1.472
81300,505.573,1.472
81400,506.208,1.472
81500,506.842,1.472
81600,507.477,1.472
81700,508.112,1.472
81800,508.746,1.472
81900,509.381,1.472
82000,510.016,1.473
82100,510.65,1.473
82200,511.285,1.473
82300,511.919,1.473
82400,512.554,1.473
82500,513.188,1.473
82600,513.823,1.473
82700,514.457,1.473
82800,515.092,1.474
82900,515.726,1.474
83000,516.361,1.474
83100,516.995,1.474
83200,517.63,1.474
83300,518.264,1.474
83400,518.898,1.474
83500,519.533,1.474
83600,520.167,1.475
83700,520.802,1.475
83800,521.436,1.475
83900,522.07,1.475
84000,522.704,1.475
84100,523.339,1.475
84200,523.973,1.475
84300,524.607,1.475
84400,525.242,1.475
84500,525.876,1.476
84600,526.51,1.476
84700,527.144,1.476
84800,527.778,1.476
84900,528.413,1.476
85000,529.047,1.476
85100,529.681,1.476
85200,530.315,1.476
85300,530.949,1.476
85400,531.583,1.477
85500,532.217,1.477
85600,532.852,1.477
85700,533.486,1.477
85800,534.12,1.477
85900,534.754,1.477
86000,535.388,1.477
86100,536.022,1.477
86200,536.656,1.477
86300,537.29,1.478
86400,537.924,1.478
86500,538.558,1.478
86600,539.192,1.478
86700,539.826,1.478
86800,540.46,1.478
86900,541.094,1.478
87000,541.727,1.478
87100,542.361,1.478
87200,542.995,1.479
87300,543.629,1.479
87400,544.263,1.479
87500,544.897,1.479
87600,545.531,1.479
87700,546.164,1.479
87800,546.798,1.479
87900,547.432,1.479
88000,548.066,1.479
88100,548.7,1.48
88200,549.333,1.48
88300,549.967,1.48
88400,550.601,1.48
88500,551.235,1.48
88600,551.868,1.48
88700,552.502,1.48
88800,553.136,1.48
88900,553.769,1.48
89000,554.403,1.48
89100,555.037,1.481
89200,555.67,1.481
89300,556.304,1.481
89400,556.938,1.481
89500,557.571,1.481
89600,558.205,1.481
89700,558.838,1.481
89800,559.472,1.481
89900,560.105,1.481
90000,560.739,1.482
90100,561.373,1.482
90200,562.006,1.482
90300,562.64,1.482
90400,563.273,1.482
90500,563.907,1.482
90600,564.54,1.482
90700,565.174,1.482
90800,565.807,1.482
90900,566.44,1.482
91000,567.074,1.483
91100,567.707,1.483
91200,568.341,1.483
91300,568.974,1.483
91400,569.607,1.483
91500,570.241,1.483
91600,570.874,1.483
91700,571.508,1.483
91800,572.141,1.483
91900,572.774,1.483
92000,573.408,1.483
92100,574.041,1.484
92200,574.674,1.484
92300,575.308,1.484
92400,575.941,1.484
92500,576.574,1.484
92600,577.207,1.484
92700,577.841,1.484
92800,578.474,1.484
92900,579.107,1.484
93000,579.74,1.484
93100,580.373,1.485
93200,581.007,1.485
93300,581.64,1.485
93400,582.273,1.485
93500,582.906,1.485
93600,583.539,1.485
93700,584.173,1.485
93800,584.806,1.485
93900,585.439,1.485
94000,586.072,1.485
94100,586.705,1.485
94200,587.338,1.486
94300,587.971,1.486
94400,588.604,1.486
94500,589.237,1.486
94600,589.87,1.486
94700,590.503,1.486
94800,591.137,1.486
94900,591.77,1.486
